Timestamp,Age,Grade/Class,Gender,Average hours spent studying per day,Preferred study method,Subject(s) you find most challenging,Extra-curricular activities you participate in,Do you feel marginalized or discriminated against at School/College/University?,"Have you ever used tobacco, alcohol, or other substances?"
2026/03/31 11:40:39 AM GMT+5,17.0,12,Male,2–4 hours,Online tutorials;Coaching classes,Math,Sports,Never,No
2026/03/31 11:45:18 AM GMT+5,17.0,11,Male,1–2 hours,Self-study,Math,Debates/Speeches,Never,No
2026/03/31 11:59:13 AM GMT+5,19.0,Under-Grad (Bachelors),Female,More than 4 hours,Self-study;Group study,"Science (Physics, Chem, Bio, Comp SCI)",Sports,Sometimes,No
2026/03/31 12:49:25 PM GMT+5,24.0,12,Male,Less than 1 hour,Self-study,"Science (Physics, Chem, Bio, Comp SCI)",Sports,Rarely,No
2026/03/31 2:05:49 PM GMT+5,17.0,12,Male,2–4 hours,Self-study,Math;,,Sometimes,No
2026/03/31 4:45:01 PM GMT+5,20.0,Under-Grad (Bachelors),Male,2–4 hours,Self-study;Group study,,,Never,No
2026/03/31 4:56:23 PM GMT+5,19.0,12,Male,Less than 1 hour,Online tutorials;Coaching classes,"Science (Physics, Chem, Bio, Comp SCI)",Sports;Debates/Speeches,Never,Yes
2026/03/31 5:36:58 PM GMT+5,16.0,10,Male,Less than 1 hour,Self-study,Math,"Arts/Music;History, Exhibitions, etc",Sometimes,No
2026/03/31 6:06:56 PM GMT+5,20.0,Under-Grad (Bachelors),Male,Less than 1 hour,Self-study,Math,,Sometimes,Yes
2026/03/31 10:51:32 PM GMT+5,17.0,11,Female,Less than 1 hour,Self-study,"Science (Physics, Chem, Bio, Comp SCI)",Debates/Speeches,Sometimes,No
2026/03/31 11:41:32 PM GMT+5,17.0,12,Female,1–2 hours,Self-study;Coaching classes,Math,Sports;Arts/Music,Often,No
2026/03/31 11:42:31 PM GMT+5,25.0,Post-grad (Masters),Male,2–4 hours,Self-study;Online tutorials,Math,Debates/Speeches;Olympiads,Often,Yes
2026/04/01 4:38:35 AM GMT+5,17.0,11,Female,2–4 hours,Coaching classes,"Science (Physics, Chem, Bio, Comp SCI)",Arts/Music,Rarely,Sometimes
2026/04/01 7:07:34 AM GMT+5,16.0,11,Male,2–4 hours,Self-study;Online tutorials;Coaching classes,"Math;Science (Physics, Chem, Bio, Comp SCI)",Sports,Never,No
2026/04/02 3:26:47 AM GMT+5,18.0,Under-Grad (Bachelors),Male,More than 4 hours,Self-study;Online tutorials,Biochemistry,Reading and kanging on history,Sometimes,No
2026/04/07 8:18:06 AM GMT+5,38.0,Under-Grad (Bachelors),Prefer Not Say,2–4 hours,Self-study,Math;,,Often,Yes
2026/04/07 8:18:32 AM GMT+5,41.0,12,Male,1–2 hours,Online tutorials,Math,Debates/Speeches,Often,Yes
2026/04/07 8:21:24 AM GMT+5,29.0,Under-Grad (Bachelors),Prefer Not Say,2–4 hours,Self-study,English;,,Often,Yes
2026/04/07 8:23:51 AM GMT+5,44.0,9,Female,2–4 hours,Group study,"Science (Physics, Chem, Bio, Comp SCI)",Arts/Music,Sometimes,Yes
2026/04/07 8:24:16 AM GMT+5,29.0,12,Female,2–4 hours,Online tutorials,English,Sports,Rarely,Yes
2026/04/07 8:26:19 AM GMT+5,29.0,Under-Grad (Bachelors),Male,Less than 1 hour,Self-study,English,Sports,Rarely,Yes
2026/04/07 8:29:07 AM GMT+5,23.0,10,Male,2–4 hours,Self-study,"Science (Physics, Chem, Bio, Comp SCI)",Sports,Rarely,Yes
2026/04/07 8:29:55 AM GMT+5,16.0,11,Female,Less than 1 hour,Self-study,English;,,Sometimes,Yes
2026/04/07 8:31:07 AM GMT+5,55.0,11,Male,More than 4 hours,Self-study,English,Sports,Often,Yes
2026/04/07 8:31:56 AM GMT+5,40.0,9,Prefer Not Say,More than 4 hours,Self-study,English,Sports,Rarely,Yes
2026/04/07 8:33:09 AM GMT+5,19.0,11,Female,2–4 hours,Group study,"Science (Physics, Chem, Bio, Comp SCI)",Sports,Rarely,Yes
