Timestamp,Age,Grade/Class,Gender,Average hours spent studying per day,Preferred study method,Subject(s) you find most challenging,Extra-curricular activities you participate in,Do you feel marginalized or discriminated against at School/College/University?,"Have you ever used tobacco, alcohol, or other substances?"
2026/04/07 10:10:27 AM GMT+5,19.0,12,Female,1–2 hours,Coaching classes,"Science (Physics, Chem, Bio, Comp SCI)",Arts/Music,Sometimes,Yes
2026/04/07 10:10:47 AM GMT+5,34.0,Under-Grad (Bachelors),Male,2–4 hours,Online tutorials,"Science (Physics, Chem, Bio, Comp SCI)",Sports,Rarely,Yes
2026/04/07 10:10:59 AM GMT+5,22.0,Post-grad (Masters),Prefer Not Say,2–4 hours,Online tutorials,English,Debates/Speeches,Often,Yes
2026/04/07 10:11:18 AM GMT+5,25.0,10,Prefer Not Say,1–2 hours,Online tutorials,Math,Debates/Speeches,Never,Yes
2026/04/07 10:11:45 AM GMT+5,22.0,11,Male,1–2 hours,Self-study,Math,Arts/Music,Rarely,Yes
2026/04/07 10:11:50 AM GMT+5,27.0,Post-grad (Masters),Prefer Not Say,1–2 hours,Self-study,English;,,Never,Yes
2026/04/07 10:12:01 AM GMT+5,41.0,10,Prefer Not Say,1–2 hours,Coaching classes,Math;,,Rarely,Yes
2026/04/07 10:12:05 AM GMT+5,57.0,9,Prefer Not Say,Less than 1 hour,Group study,Math,Arts/Music,Rarely,Yes
2026/04/07 10:13:55 AM GMT+5,20.0,10,Female,1–2 hours,Self-study,"Science (Physics, Chem, Bio, Comp SCI)",Debates/Speeches,Never,Yes
2026/04/07 10:14:22 AM GMT+5,38.0,9,Prefer Not Say,More than 4 hours,Group study,Math,Sports,Rarely,Yes
2026/04/07 10:14:38 AM GMT+5,41.0,Under-Grad (Bachelors),Female,2–4 hours,Coaching classes,Math,Debates/Speeches,Often,Yes
2026/04/07 10:14:47 AM GMT+5,57.0,Under-Grad (Bachelors),Male,1–2 hours,Online tutorials,"Science (Physics, Chem, Bio, Comp SCI)",Sports,Rarely,Yes
2026/04/07 10:14:57 AM GMT+5,26.0,12,Female,2–4 hours,Coaching classes,English,Debates/Speeches,Never,Yes
2026/04/07 10:15:13 AM GMT+5,21.0,9,Female,2–4 hours,Online tutorials,"Science (Physics, Chem, Bio, Comp SCI);",,Sometimes,Yes
2026/04/07 10:15:28 AM GMT+5,19.0,Post-grad (Masters),Male,1–2 hours,Coaching classes,Math;,,Rarely,Yes
2026/04/07 10:15:44 AM GMT+5,15.0,Post-grad (Masters),Prefer Not Say,More than 4 hours,Self-study,English,Arts/Music,Rarely,Yes
2026/04/07 10:16:26 AM GMT+5,16.0,Post-grad (Masters),Male,2–4 hours,Online tutorials,Math;,,Often,Yes
2026/04/07 10:16:32 AM GMT+5,23.0,Under-Grad (Bachelors),Female,1–2 hours,Group study,Math;,,Sometimes,Yes
2026/04/07 10:16:57 AM GMT+5,20.0,9,Prefer Not Say,2–4 hours,Coaching classes,English,Debates/Speeches,Often,Yes
2026/04/07 10:17:18 AM GMT+5,37.0,12,Male,1–2 hours,Coaching classes,"Science (Physics, Chem, Bio, Comp SCI);",,Rarely,Yes
2026/04/07 10:17:45 AM GMT+5,34.0,Under-Grad (Bachelors),Female,2–4 hours,Coaching classes,Math,Debates/Speeches,Sometimes,Yes
2026/04/07 10:17:49 AM GMT+5,24.0,Post-grad (Masters),Female,1–2 hours,Coaching classes,Math,Arts/Music,Never,Yes
2026/04/07 10:18:05 AM GMT+5,40.0,Under-Grad (Bachelors),Prefer Not Say,Less than 1 hour,Self-study,Math;,,Rarely,Yes
2026/04/07 10:18:33 AM GMT+5,57.0,Under-Grad (Bachelors),Female,Less than 1 hour,Online tutorials,Math,Sports,Sometimes,Yes
2026/04/07 10:18:49 AM GMT+5,46.0,Post-grad (Masters),Female,2–4 hours,Coaching classes,"Science (Physics, Chem, Bio, Comp SCI)",Arts/Music,Sometimes,Yes
2026/04/07 10:19:08 AM GMT+5,27.0,12,Male,Less than 1 hour,Coaching classes,"Science (Physics, Chem, Bio, Comp SCI)",Sports,Never,Yes
2026/04/07 10:19:24 AM GMT+5,33.0,Under-Grad (Bachelors),Female,1–2 hours,Coaching classes,English,Sports,Never,Yes
2026/04/07 10:20:07 AM GMT+5,45.0,Under-Grad (Bachelors),Female,More than 4 hours,Group study,English,Debates/Speeches,Sometimes,Yes
2026/04/07 10:20:40 AM GMT+5,37.0,Post-grad (Masters),Female,1–2 hours,Online tutorials,"Science (Physics, Chem, Bio, Comp SCI)",Arts/Music,Never,Yes
2026/04/07 10:20:43 AM GMT+5,47.0,12,Female,More than 4 hours,Coaching classes,Math,Sports,Rarely,Yes
2026/04/07 10:21:43 AM GMT+5,27.0,9,Male,2–4 hours,Online tutorials,"Science (Physics, Chem, Bio, Comp SCI)",Arts/Music,Rarely,Yes
2026/04/07 10:22:03 AM GMT+5,47.0,Post-grad (Masters),Prefer Not Say,Less than 1 hour,Coaching classes,Math;,,Rarely,Yes
2026/04/07 10:22:43 AM GMT+5,38.0,Under-Grad (Bachelors),Male,2–4 hours,Group study,English;,,Often,Yes
2026/04/07 10:22:50 AM GMT+5,33.0,12,Male,1–2 hours,Coaching classes,"Science (Physics, Chem, Bio, Comp SCI)",Arts/Music,Often,Yes
2026/04/07 10:23:21 AM GMT+5,43.0,9,Prefer Not Say,1–2 hours,Self-study,"Science (Physics, Chem, Bio, Comp SCI)",Debates/Speeches,Rarely,Yes
2026/04/07 10:23:41 AM GMT+5,30.0,11,Male,Less than 1 hour,Group study,"Science (Physics, Chem, Bio, Comp SCI)",Debates/Speeches,Sometimes,Yes
2026/04/07 10:23:52 AM GMT+5,58.0,10,Male,2–4 hours,Coaching classes,English,Arts/Music,Rarely,Yes
2026/04/07 10:24:15 AM GMT+5,35.0,11,Prefer Not Say,Less than 1 hour,Coaching classes,English,Sports,Sometimes,Yes
2026/04/07 10:24:31 AM GMT+5,21.0,10,Prefer Not Say,2–4 hours,Online tutorials,English,Arts/Music,Sometimes,Yes
2026/04/07 10:24:57 AM GMT+5,55.0,9,Female,2–4 hours,Coaching classes,"Science (Physics, Chem, Bio, Comp SCI)",Sports,Sometimes,Yes
2026/04/07 10:26:03 AM GMT+5,55.0,Under-Grad (Bachelors),Prefer Not Say,More than 4 hours,Coaching classes,Math,Sports,Rarely,Yes
2026/04/07 10:26:19 AM GMT+5,37.0,10,Prefer Not Say,2–4 hours,Coaching classes,English;,,Sometimes,Yes
2026/04/07 10:27:27 AM GMT+5,32.0,10,Prefer Not Say,2–4 hours,Group study,"Science (Physics, Chem, Bio, Comp SCI)",Sports,Sometimes,Yes
2026/04/07 10:27:51 AM GMT+5,32.0,9,Male,Less than 1 hour,Online tutorials,"Science (Physics, Chem, Bio, Comp SCI);",,Sometimes,Yes
2026/04/07 10:28:00 AM GMT+5,43.0,10,Prefer Not Say,Less than 1 hour,Group study,English,Sports,Rarely,Yes
2026/04/07 10:28:07 AM GMT+5,49.0,10,Male,1–2 hours,Online tutorials,English,Debates/Speeches,Sometimes,Yes
2026/04/07 10:28:16 AM GMT+5,47.0,10,Female,More than 4 hours,Self-study,English;,,Never,Yes
2026/04/07 10:28:43 AM GMT+5,42.0,Post-grad (Masters),Male,Less than 1 hour,Group study,Math,Sports,Sometimes,Yes
2026/04/07 10:29:11 AM GMT+5,29.0,10,Male,2–4 hours,Online tutorials,Math,Sports,Sometimes,Yes
2026/04/07 10:29:28 AM GMT+5,48.0,Under-Grad (Bachelors),Female,2–4 hours,Self-study,Math,Sports,Sometimes,Yes
2026/04/07 10:29:44 AM GMT+5,29.0,Post-grad (Masters),Female,2–4 hours,Coaching classes,English,Debates/Speeches,Sometimes,Yes
2026/04/07 10:30:06 AM GMT+5,47.0,12,Prefer Not Say,2–4 hours,Self-study,"Science (Physics, Chem, Bio, Comp SCI)",Debates/Speeches,Rarely,Yes
2026/04/07 10:30:32 AM GMT+5,35.0,Under-Grad (Bachelors),Female,1–2 hours,Self-study,Math,Debates/Speeches,Sometimes,Yes
2026/04/07 10:31:14 AM GMT+5,14.0,10,Prefer Not Say,2–4 hours,Self-study,"Science (Physics, Chem, Bio, Comp SCI)",Sports,Sometimes,Yes
2026/04/07 10:31:24 AM GMT+5,17.0,Under-Grad (Bachelors),Female,More than 4 hours,Online tutorials,English,Arts/Music,Rarely,Yes
2026/04/07 10:31:36 AM GMT+5,52.0,9,Prefer Not Say,2–4 hours,Coaching classes,English,Arts/Music,Sometimes,Yes
2026/04/07 10:32:06 AM GMT+5,49.0,12,Male,More than 4 hours,Self-study,"Science (Physics, Chem, Bio, Comp SCI);",,Rarely,Yes
2026/04/07 10:32:10 AM GMT+5,35.0,9,Male,More than 4 hours,Self-study,English;,,Rarely,Yes
2026/04/07 10:33:18 AM GMT+5,46.0,9,Female,1–2 hours,Coaching classes,Math,Debates/Speeches,Sometimes,Yes
2026/04/07 10:34:27 AM GMT+5,47.0,Post-grad (Masters),Female,1–2 hours,Coaching classes,Math,Debates/Speeches,Rarely,Yes
2026/04/07 10:34:35 AM GMT+5,54.0,9,Female,More than 4 hours,Self-study,English,Arts/Music,Often,Yes
2026/04/07 10:34:58 AM GMT+5,19.0,Under-Grad (Bachelors),Prefer Not Say,2–4 hours,Coaching classes,Math,Debates/Speeches,Often,Yes
2026/04/07 10:35:03 AM GMT+5,39.0,10,Female,Less than 1 hour,Coaching classes,"Science (Physics, Chem, Bio, Comp SCI)",Debates/Speeches,Never,Yes
2026/04/07 10:35:51 AM GMT+5,57.0,9,Female,2–4 hours,Group study,Math,Debates/Speeches,Often,Yes
2026/04/07 10:38:21 AM GMT+5,58.0,11,Prefer Not Say,1–2 hours,Group study,Math;,,Rarely,Yes
2026/04/07 10:38:30 AM GMT+5,24.0,11,Female,Less than 1 hour,Online tutorials,English,Sports,Never,Yes
2026/04/07 10:38:55 AM GMT+5,59.0,Post-grad (Masters),Male,1–2 hours,Group study,English,Sports,Rarely,Yes
2026/04/07 10:39:16 AM GMT+5,37.0,Post-grad (Masters),Prefer Not Say,More than 4 hours,Group study,Math;,,Sometimes,Yes
2026/04/07 10:39:31 AM GMT+5,25.0,12,Prefer Not Say,Less than 1 hour,Self-study,"Science (Physics, Chem, Bio, Comp SCI)",Debates/Speeches,Sometimes,Yes
2026/04/07 10:39:42 AM GMT+5,37.0,10,Prefer Not Say,1–2 hours,Self-study,"Science (Physics, Chem, Bio, Comp SCI);",,Sometimes,Yes
2026/04/07 10:40:01 AM GMT+5,26.0,Post-grad (Masters),Male,1–2 hours,Online tutorials,Math,Arts/Music,Sometimes,Yes
2026/04/07 10:40:13 AM GMT+5,58.0,9,Female,More than 4 hours,Coaching classes,Math,Sports,Sometimes,Yes
2026/04/07 10:40:28 AM GMT+5,22.0,12,Male,Less than 1 hour,Online tutorials,"Science (Physics, Chem, Bio, Comp SCI)",Debates/Speeches,Sometimes,Yes
2026/04/07 10:40:59 AM GMT+5,59.0,11,Female,More than 4 hours,Online tutorials,English,Debates/Speeches,Rarely,Yes
2026/04/07 10:41:36 AM GMT+5,15.0,10,Female,More than 4 hours,Online tutorials,"Science (Physics, Chem, Bio, Comp SCI)",Debates/Speeches,Rarely,Yes
2026/04/07 10:41:45 AM GMT+5,54.0,Post-grad (Masters),Male,1–2 hours,Coaching classes,English;,,Sometimes,Yes
2026/04/07 10:42:16 AM GMT+5,32.0,Under-Grad (Bachelors),Male,Less than 1 hour,Self-study,Math;,,Often,Yes
2026/04/07 10:42:32 AM GMT+5,54.0,9,Male,1–2 hours,Self-study,"Science (Physics, Chem, Bio, Comp SCI);",,Sometimes,Yes
2026/04/07 10:42:38 AM GMT+5,14.0,10,Prefer Not Say,2–4 hours,Self-study,English,Debates/Speeches,Never,Yes
2026/04/07 10:42:54 AM GMT+5,59.0,Under-Grad (Bachelors),Prefer Not Say,More than 4 hours,Online tutorials,"Science (Physics, Chem, Bio, Comp SCI)",Debates/Speeches,Never,Yes
2026/04/07 10:43:41 AM GMT+5,41.0,Post-grad (Masters),Male,1–2 hours,Coaching classes,"Science (Physics, Chem, Bio, Comp SCI);",,Rarely,Yes
2026/04/07 10:44:30 AM GMT+5,41.0,9,Female,1–2 hours,Online tutorials,English,Sports,Never,Yes
2026/04/07 10:45:03 AM GMT+5,19.0,Under-Grad (Bachelors),Prefer Not Say,1–2 hours,Coaching classes,English,Arts/Music,Often,Yes
2026/04/07 10:46:32 AM GMT+5,47.0,12,Female,2–4 hours,Online tutorials,"Science (Physics, Chem, Bio, Comp SCI)",Debates/Speeches,Sometimes,Yes
2026/04/07 10:47:08 AM GMT+5,51.0,Under-Grad (Bachelors),Male,Less than 1 hour,Group study,English;,,Rarely,Yes
2026/04/07 10:47:34 AM GMT+5,33.0,Post-grad (Masters),Female,Less than 1 hour,Online tutorials,"Science (Physics, Chem, Bio, Comp SCI)",Debates/Speeches,Often,Yes
2026/04/07 10:47:38 AM GMT+5,47.0,Post-grad (Masters),Male,More than 4 hours,Online tutorials,"Science (Physics, Chem, Bio, Comp SCI)",Debates/Speeches,Sometimes,Yes
2026/04/07 10:47:38 AM GMT+5,19.0,9,Male,1–2 hours,Self-study,"Science (Physics, Chem, Bio, Comp SCI)",Debates/Speeches,Rarely,Yes
2026/04/07 10:47:50 AM GMT+5,44.0,12,Female,1–2 hours,Online tutorials,English,Sports,Sometimes,Yes
2026/04/07 10:48:39 AM GMT+5,45.0,11,Female,Less than 1 hour,Group study,English;,,Rarely,Yes
2026/04/07 10:49:02 AM GMT+5,45.0,Under-Grad (Bachelors),Male,2–4 hours,Online tutorials,Math,Arts/Music,Rarely,Yes
2026/04/07 10:49:51 AM GMT+5,32.0,Under-Grad (Bachelors),Male,Less than 1 hour,Coaching classes,"Science (Physics, Chem, Bio, Comp SCI);",,Rarely,Yes
2026/04/07 10:50:52 AM GMT+5,19.0,11,Female,2–4 hours,Group study,English;,,Sometimes,Yes
2026/04/07 10:50:58 AM GMT+5,27.0,12,Female,More than 4 hours,Coaching classes,English;,,Sometimes,Yes
2026/04/07 10:51:06 AM GMT+5,34.0,10,Prefer Not Say,More than 4 hours,Group study,English,Sports,Sometimes,Yes
2026/04/07 10:51:44 AM GMT+5,35.0,Post-grad (Masters),Prefer Not Say,2–4 hours,Coaching classes,Math,Arts/Music,Rarely,Yes
2026/04/07 10:52:21 AM GMT+5,51.0,12,Male,More than 4 hours,Self-study,"Science (Physics, Chem, Bio, Comp SCI);",,Rarely,Yes
2026/04/07 10:52:56 AM GMT+5,38.0,10,Female,2–4 hours,Group study,Math;,,Never,Yes
2026/04/07 10:54:07 AM GMT+5,46.0,10,Female,2–4 hours,Group study,English,Sports,Rarely,Yes
2026/04/07 10:54:07 AM GMT+5,24.0,9,Male,2–4 hours,Group study,"Science (Physics, Chem, Bio, Comp SCI)",Sports,Never,Yes
2026/04/07 10:54:26 AM GMT+5,43.0,Under-Grad (Bachelors),Prefer Not Say,1–2 hours,Group study,English,Arts/Music,Sometimes,Yes
2026/04/07 10:55:14 AM GMT+5,25.0,9,Prefer Not Say,More than 4 hours,Coaching classes,Math,Sports,Rarely,Yes
2026/04/07 10:57:07 AM GMT+5,33.0,Under-Grad (Bachelors),Prefer Not Say,Less than 1 hour,Self-study,English,Debates/Speeches,Never,Yes
2026/04/07 10:57:23 AM GMT+5,45.0,Post-grad (Masters),Prefer Not Say,2–4 hours,Self-study,"Science (Physics, Chem, Bio, Comp SCI);",,Never,Yes
2026/04/07 10:57:39 AM GMT+5,21.0,11,Male,1–2 hours,Group study,Math,Arts/Music,Never,Yes
2026/04/07 10:57:44 AM GMT+5,40.0,11,Male,More than 4 hours,Coaching classes,Math,Debates/Speeches,Rarely,Yes
2026/04/07 10:58:02 AM GMT+5,58.0,10,Male,2–4 hours,Online tutorials,English,Debates/Speeches,Sometimes,Yes
2026/04/07 10:58:21 AM GMT+5,29.0,9,Female,Less than 1 hour,Group study,"Science (Physics, Chem, Bio, Comp SCI)",Sports,Never,Yes
2026/04/07 10:58:37 AM GMT+5,14.0,9,Female,1–2 hours,Coaching classes,"Science (Physics, Chem, Bio, Comp SCI)",Debates/Speeches,Never,Yes
2026/04/07 10:58:49 AM GMT+5,44.0,10,Male,2–4 hours,Online tutorials,English,Sports,Never,Yes
2026/04/07 10:59:06 AM GMT+5,37.0,9,Female,2–4 hours,Group study,English,Debates/Speeches,Rarely,Yes
2026/04/07 10:59:23 AM GMT+5,43.0,12,Male,Less than 1 hour,Online tutorials,English,Arts/Music,Sometimes,Yes
2026/04/07 11:00:00 AM GMT+5,16.0,Post-grad (Masters),Male,More than 4 hours,Group study,"Science (Physics, Chem, Bio, Comp SCI)",Debates/Speeches,Sometimes,Yes
2026/04/07 11:00:20 AM GMT+5,55.0,Post-grad (Masters),Male,More than 4 hours,Self-study,English;,,Rarely,Yes
2026/04/07 11:00:36 AM GMT+5,38.0,11,Female,1–2 hours,Group study,"Science (Physics, Chem, Bio, Comp SCI);",,Rarely,Yes
2026/04/07 11:00:42 AM GMT+5,31.0,Under-Grad (Bachelors),Prefer Not Say,2–4 hours,Self-study,English,Arts/Music,Sometimes,Yes
2026/04/07 11:00:56 AM GMT+5,30.0,Under-Grad (Bachelors),Male,1–2 hours,Online tutorials,English,Arts/Music,Rarely,Yes
2026/04/07 11:01:12 AM GMT+5,53.0,12,Prefer Not Say,2–4 hours,Coaching classes,English,Debates/Speeches,Never,Yes
2026/04/07 11:01:15 AM GMT+5,25.0,9,Male,More than 4 hours,Online tutorials,Math;,,Rarely,Yes
2026/04/07 11:01:17 AM GMT+5,37.0,9,Male,More than 4 hours,Online tutorials,"Science (Physics, Chem, Bio, Comp SCI);",,Never,Yes
2026/04/07 11:01:36 AM GMT+5,20.0,Post-grad (Masters),Female,1–2 hours,Self-study,Math;,,Rarely,Yes
2026/04/07 11:01:37 AM GMT+5,31.0,9,Male,Less than 1 hour,Online tutorials,Math,Debates/Speeches,Never,Yes
2026/04/07 11:03:40 AM GMT+5,29.0,12,Prefer Not Say,1–2 hours,Coaching classes,Math,Debates/Speeches,Sometimes,Yes
2026/04/07 11:04:03 AM GMT+5,16.0,9,Prefer Not Say,More than 4 hours,Group study,"Science (Physics, Chem, Bio, Comp SCI);",,Sometimes,Yes
2026/04/07 11:04:07 AM GMT+5,29.0,10,Female,Less than 1 hour,Coaching classes,"Science (Physics, Chem, Bio, Comp SCI)",Sports,Sometimes,Yes
2026/04/07 11:04:33 AM GMT+5,52.0,12,Female,Less than 1 hour,Online tutorials,Math;,,Sometimes,Yes
2026/04/07 11:04:38 AM GMT+5,30.0,12,Male,1–2 hours,Coaching classes,Math;,,Sometimes,Yes
2026/04/07 11:04:45 AM GMT+5,32.0,Post-grad (Masters),Female,Less than 1 hour,Group study,Math;,,Sometimes,Yes
2026/04/07 11:04:54 AM GMT+5,41.0,9,Female,1–2 hours,Group study,"Science (Physics, Chem, Bio, Comp SCI)",Sports,Rarely,Yes
2026/04/07 11:05:27 AM GMT+5,41.0,9,Prefer Not Say,2–4 hours,Self-study,"Science (Physics, Chem, Bio, Comp SCI)",Debates/Speeches,Often,Yes
2026/04/07 11:05:40 AM GMT+5,32.0,10,Male,2–4 hours,Self-study,Math,Arts/Music,Sometimes,Yes
2026/04/07 11:06:45 AM GMT+5,51.0,9,Male,1–2 hours,Coaching classes,Math,Sports,Sometimes,Yes
2026/04/07 11:06:54 AM GMT+5,49.0,10,Prefer Not Say,1–2 hours,Self-study,"Science (Physics, Chem, Bio, Comp SCI)",Sports,Sometimes,Yes
2026/04/07 11:07:15 AM GMT+5,22.0,9,Female,More than 4 hours,Self-study,"Science (Physics, Chem, Bio, Comp SCI)",Debates/Speeches,Sometimes,Yes
2026/04/07 11:07:32 AM GMT+5,41.0,12,Female,More than 4 hours,Self-study,English,Sports,Rarely,Yes
2026/04/07 11:07:35 AM GMT+5,30.0,11,Female,1–2 hours,Self-study,Math,Arts/Music,Sometimes,Yes
2026/04/07 11:07:42 AM GMT+5,55.0,9,Prefer Not Say,More than 4 hours,Self-study,"Science (Physics, Chem, Bio, Comp SCI);",,Sometimes,Yes
2026/04/07 11:08:02 AM GMT+5,16.0,9,Female,Less than 1 hour,Group study,"Science (Physics, Chem, Bio, Comp SCI)",Arts/Music,Rarely,Yes
2026/04/07 11:08:07 AM GMT+5,41.0,11,Male,Less than 1 hour,Self-study,English,Sports,Often,Yes
2026/04/07 11:08:21 AM GMT+5,23.0,Post-grad (Masters),Male,Less than 1 hour,Coaching classes,Math,Debates/Speeches,Rarely,Yes
2026/04/07 11:08:35 AM GMT+5,15.0,9,Male,More than 4 hours,Self-study,English,Debates/Speeches,Sometimes,Yes
2026/04/07 11:08:36 AM GMT+5,16.0,10,Male,1–2 hours,Self-study,Math;,,Rarely,Yes
2026/04/07 11:08:44 AM GMT+5,23.0,11,Female,More than 4 hours,Self-study,English,Arts/Music,Often,Yes
2026/04/07 11:09:29 AM GMT+5,59.0,Under-Grad (Bachelors),Female,1–2 hours,Group study,"Science (Physics, Chem, Bio, Comp SCI);",,Often,Yes
2026/04/07 11:09:40 AM GMT+5,55.0,11,Female,2–4 hours,Coaching classes,Math,Debates/Speeches,Rarely,Yes
2026/04/07 11:09:49 AM GMT+5,46.0,10,Male,More than 4 hours,Self-study,"Science (Physics, Chem, Bio, Comp SCI)",Sports,Often,Yes
2026/04/07 11:09:59 AM GMT+5,44.0,10,Female,More than 4 hours,Coaching classes,"Science (Physics, Chem, Bio, Comp SCI);",,Sometimes,Yes
2026/04/07 11:10:00 AM GMT+5,58.0,Under-Grad (Bachelors),Male,More than 4 hours,Online tutorials,Math,Debates/Speeches,Sometimes,Yes
2026/04/07 11:10:08 AM GMT+5,25.0,Under-Grad (Bachelors),Female,1–2 hours,Coaching classes,English,Debates/Speeches,Sometimes,Yes
2026/04/07 11:10:17 AM GMT+5,17.0,11,Male,2–4 hours,Online tutorials,English;,,Sometimes,Yes
2026/04/07 11:10:21 AM GMT+5,29.0,10,Female,2–4 hours,Group study,English,Arts/Music,Sometimes,Yes
2026/04/07 11:10:25 AM GMT+5,17.0,11,Male,1–2 hours,Online tutorials,English,Debates/Speeches,Sometimes,Yes
2026/04/07 11:11:08 AM GMT+5,20.0,Post-grad (Masters),Male,1–2 hours,Online tutorials,Math,Arts/Music,Rarely,Yes
2026/04/07 11:11:24 AM GMT+5,22.0,Under-Grad (Bachelors),Male,2–4 hours,Online tutorials,"Science (Physics, Chem, Bio, Comp SCI)",Sports,Often,Yes
2026/04/07 11:11:35 AM GMT+5,32.0,12,Female,Less than 1 hour,Online tutorials,"Science (Physics, Chem, Bio, Comp SCI)",Debates/Speeches,Sometimes,Yes
2026/04/07 11:11:44 AM GMT+5,27.0,12,Prefer Not Say,1–2 hours,Self-study,"Science (Physics, Chem, Bio, Comp SCI)",Arts/Music,Often,Yes
2026/04/07 11:12:04 AM GMT+5,20.0,10,Male,More than 4 hours,Self-study,Math,Debates/Speeches,Sometimes,Yes
2026/04/07 11:12:18 AM GMT+5,45.0,Post-grad (Masters),Female,More than 4 hours,Group study,"Science (Physics, Chem, Bio, Comp SCI)",Arts/Music,Sometimes,Yes
2026/04/07 11:12:31 AM GMT+5,52.0,10,Male,More than 4 hours,Coaching classes,"Science (Physics, Chem, Bio, Comp SCI);",,Sometimes,Yes
2026/04/07 11:13:19 AM GMT+5,45.0,11,Prefer Not Say,Less than 1 hour,Online tutorials,Math,Debates/Speeches,Often,Yes
2026/04/07 11:13:27 AM GMT+5,19.0,10,Female,More than 4 hours,Online tutorials,"Science (Physics, Chem, Bio, Comp SCI)",Debates/Speeches,Often,Yes
2026/04/07 11:13:32 AM GMT+5,48.0,10,Female,Less than 1 hour,Group study,"Science (Physics, Chem, Bio, Comp SCI)",Arts/Music,Sometimes,Yes
2026/04/07 11:13:33 AM GMT+5,49.0,9,Female,More than 4 hours,Online tutorials,"Science (Physics, Chem, Bio, Comp SCI)",Sports,Often,Yes
2026/04/07 11:14:13 AM GMT+5,58.0,10,Male,Less than 1 hour,Group study,"Science (Physics, Chem, Bio, Comp SCI);",,Rarely,Yes
2026/04/07 11:14:30 AM GMT+5,24.0,12,Female,More than 4 hours,Group study,Math,Arts/Music,Sometimes,Yes
2026/04/07 11:14:31 AM GMT+5,28.0,Under-Grad (Bachelors),Female,2–4 hours,Self-study,Math,Arts/Music,Rarely,Yes
2026/04/07 11:14:51 AM GMT+5,25.0,12,Female,1–2 hours,Self-study,"Science (Physics, Chem, Bio, Comp SCI);",,Sometimes,Yes
2026/04/07 11:14:53 AM GMT+5,60.0,Under-Grad (Bachelors),Female,1–2 hours,Group study,Math,Debates/Speeches,Sometimes,Yes
2026/04/07 11:15:12 AM GMT+5,30.0,12,Prefer Not Say,2–4 hours,Coaching classes,English,Arts/Music,Sometimes,Yes
2026/04/07 11:15:13 AM GMT+5,59.0,Under-Grad (Bachelors),Prefer Not Say,Less than 1 hour,Self-study,"Science (Physics, Chem, Bio, Comp SCI)",Arts/Music,Sometimes,Yes
2026/04/07 11:15:16 AM GMT+5,17.0,11,Female,1–2 hours,Online tutorials,Math,Sports,Often,Yes
2026/04/07 11:15:33 AM GMT+5,59.0,Post-grad (Masters),Female,More than 4 hours,Online tutorials,English,Arts/Music,Sometimes,Yes
2026/04/07 11:15:35 AM GMT+5,20.0,10,Male,More than 4 hours,Coaching classes,English,Arts/Music,Sometimes,Yes
2026/04/07 11:15:51 AM GMT+5,42.0,11,Male,More than 4 hours,Group study,Math,Debates/Speeches,Rarely,Yes
2026/04/07 11:16:46 AM GMT+5,26.0,Under-Grad (Bachelors),Female,Less than 1 hour,Self-study,Math,Debates/Speeches,Often,Yes
2026/04/07 11:16:54 AM GMT+5,48.0,9,Prefer Not Say,More than 4 hours,Group study,"Science (Physics, Chem, Bio, Comp SCI)",Arts/Music,Sometimes,Yes
2026/04/07 11:16:57 AM GMT+5,39.0,Under-Grad (Bachelors),Female,Less than 1 hour,Group study,"Science (Physics, Chem, Bio, Comp SCI);",,Sometimes,Yes
2026/04/07 11:17:01 AM GMT+5,51.0,12,Female,1–2 hours,Coaching classes,"Science (Physics, Chem, Bio, Comp SCI)",Sports,Sometimes,Yes
2026/04/07 11:17:14 AM GMT+5,14.0,12,Prefer Not Say,1–2 hours,Self-study,"Science (Physics, Chem, Bio, Comp SCI)",Debates/Speeches,Sometimes,Yes
2026/04/07 11:17:21 AM GMT+5,45.0,11,Female,Less than 1 hour,Online tutorials,"Science (Physics, Chem, Bio, Comp SCI)",Sports,Often,Yes
2026/04/07 11:17:35 AM GMT+5,52.0,9,Prefer Not Say,More than 4 hours,Coaching classes,"Science (Physics, Chem, Bio, Comp SCI)",Sports,Often,Yes
2026/04/07 11:17:36 AM GMT+5,25.0,Under-Grad (Bachelors),Female,2–4 hours,Coaching classes,English,Sports,Sometimes,Yes
2026/04/07 11:17:42 AM GMT+5,21.0,Post-grad (Masters),Male,Less than 1 hour,Self-study,Math,Debates/Speeches,Sometimes,Yes
2026/04/07 11:17:59 AM GMT+5,28.0,11,Female,1–2 hours,Self-study,"Science (Physics, Chem, Bio, Comp SCI)",Sports,Rarely,Yes
2026/04/07 11:18:18 AM GMT+5,53.0,11,Prefer Not Say,1–2 hours,Online tutorials,English,Arts/Music,Sometimes,Yes
2026/04/07 11:18:23 AM GMT+5,47.0,9,Female,1–2 hours,Group study,English,Sports,Rarely,Yes
